,Product Name,Price,Gender,Product Category,Product Sub Category and Size
33,"JANDA GENTLEMANPlatinum Carrierkrem do twarzy, 50+, dzień/noc, dla mężczyzn,50 ml","48,99 zł",male,twarz,"krem do twarzy, 50+, dzień/noc, dla mężczyzn,50 ml"
34,"NIVEA MENSensitiveżel do mycia twarzy,100 ml","28,99 zł",male,twarz,"żel do mycia twarzy,100 ml"
35,"NIVEA MENSensitivekrem do twarzy, łagodzący,75 ml","33,99 zł",male,twarz,"krem do twarzy, łagodzący,75 ml"
36,"NIVEA MENSensitivekrem do twarzy nawilżający, SPF15,,75 ml","29,99 zł",male,twarz,"krem do twarzy nawilżający, SPF15,,75 ml"
37,"NIVEA MENSensitiveżel-krem do twarzy,50 ml","35,99 zł",male,twarz,"żel-krem do twarzy,50 ml"
38,"NIVEA MENProtect & Careżel do mycia twarzy,100 ml","28,99 zł",male,twarz,"żel do mycia twarzy,100 ml"
39,"NIVEA MENProtect & Carekrem do twarzy, nawilżający,75 ml","33,99 zł",male,twarz,"krem do twarzy, nawilżający,75 ml"
40,"NIVEA MENCremekrem do twarzy, ciała i rąk, nawilżający,150 ml","16,99 zł",male,twarz,"krem do twarzy, ciała i rąk, nawilżający,150 ml"
41,"NIVEA MENCremekrem do twarzy, ciała i rąk, nawilżający,75 ml","8,99 zł",male,twarz,"krem do twarzy, ciała i rąk, nawilżający,75 ml"
42,"NIVEA MENAnti-Age Powerzaawansowane serum antypigmentacyjne,30 ml","89,99 zł",male,twarz,"zaawansowane serum antypigmentacyjne,30 ml"
43,"NIVEA MENAnti-Age Powerkrem do twarzy nawilżający,50 ml","89,99 zł",male,twarz,"krem do twarzy nawilżający,50 ml"
44,"NIVEA MENHyaluronżel do twarzy przeciwzmarszczkowy Anti-Age Hydro,50 ml","56,99 zł",male,twarz,"żel do twarzy przeciwzmarszczkowy Anti-Age Hydro,50 ml"
45,"NIVEA MENHyaluronkrem do twarzy przeciwzmarszczkowy, Anti-Age,50 ml","61,99 zł",male,twarz,"krem do twarzy przeciwzmarszczkowy, Anti-Age,50 ml"
46,"NIVEA MENHyaluronkrem pod oczy przeciwzmarszczkowy, Anti-Age,15 ml","46,99 zł",male,twarz,"krem pod oczy przeciwzmarszczkowy, Anti-Age,15 ml"
47,"MASVERIMenżel do mycia twarzy, enzymatyczny,150 ml","22,99 zł",male,twarz,"żel do mycia twarzy, enzymatyczny,150 ml"
48,"MASVERIMenkrem do twarzy dla mężczyzn, nawilżający, Hydro Punch,75 ml","31,99 zł",male,twarz,"krem do twarzy dla mężczyzn, nawilżający, Hydro Punch,75 ml"
49,"MASVERIMenkrem do twarzy dla mężczyzn, matujący, Matt Knockout,75 ml","31,99 zł",male,twarz,"krem do twarzy dla mężczyzn, matujący, Matt Knockout,75 ml"
50,"TOŁPADermo Men.żel do mycia twarzy, z zieloną herbatą,195 ml","25,99 zł",male,twarz,"żel do mycia twarzy, z zieloną herbatą,195 ml"
51,"TOŁPADermo Men.żel-peeling do twarzy, z imbirem,150 ml","23,99 zł",male,twarz,"żel-peeling do twarzy, z imbirem,150 ml"
52,"TOŁPADermo Men.krem do twarzy, nawilżający, z kwasem hialuronowym,40 ml","37,99 zł",male,twarz,"krem do twarzy, nawilżający, z kwasem hialuronowym,40 ml"
53,"TOŁPADermo Men. Anti Agekrem do twarzy, z kofeiną,40 ml","37,99 zł",male,twarz,"krem do twarzy, z kofeiną,40 ml"
54,"TOŁPADermo Men.krem pod oczy, z guaraną,10 ml","31,99 zł",male,twarz,"krem pod oczy, z guaraną,10 ml"
55,"AA MENCarbon Carepeeling do mycia twarzy, z węglem,150 ml","18,99 zł",male,twarz,"peeling do mycia twarzy, z węglem,150 ml"
56,"AA MENAdvanced Carekrem przeciwzmarszczkowy dla mężczyzn, na dzień i na noc, vital 40+,50 ml","24,99 zł",male,twarz,"krem przeciwzmarszczkowy dla mężczyzn, na dzień i na noc, vital 40+,50 ml"
57,"AA MENAdvanced Carekrem odbudowujący dla mężczyzn, na dzień i na noc, intensive 50+,50 ml","24,99 zł",male,twarz,"krem odbudowujący dla mężczyzn, na dzień i na noc, intensive 50+,50 ml"
58,"AA MENAdvanced Careregenerujący krem wzmacniający dla mężczyzn, na dzień i na noc, repair 60+,50 ml","24,99 zł",male,twarz,"regenerujący krem wzmacniający dla mężczyzn, na dzień i na noc, repair 60+,50 ml"
59,"AA MENActive Careżel do mycia twarzy peelingujący, 3w1,150 ml","15,99 zł",male,twarz,"żel do mycia twarzy peelingujący, 3w1,150 ml"
60,"AA MENActive Carekrem do twarzy, ultralekki, 3w1,50 ml","25,49 zł",male,twarz,"krem do twarzy, ultralekki, 3w1,50 ml"
61,"AA MENActive Carekrem do twarzy outdoorowy, SPF30,50 ml","25,49 zł",male,twarz,"krem do twarzy outdoorowy, SPF30,50 ml"
62,"AA MENActive Carekrem pod oczy ultralekki, 3w1,15 ml","23,99 zł",male,twarz,"krem pod oczy ultralekki, 3w1,15 ml"
63,"ALTERRAMenżel mycia do twarzy, 2w1, dla mężczyzn,150 ml","Z APKĄ12,99 zł",male,twarz,"żel mycia do twarzy, 2w1, dla mężczyzn,150 ml"
64,"ALTERRAMenkrem do twarzy, przeciwzmarszczkowy, dzień/noc,50 ml","Z APKĄ11,99 zł",male,twarz,"krem do twarzy, przeciwzmarszczkowy, dzień/noc,50 ml"
65,"ISANA MENUltra Sensitivekrem do twarzy, nawilżający, dla mężczyzn,75 ml","17,49 zł",male,twarz,"krem do twarzy, nawilżający, dla mężczyzn,75 ml"
66,"ISANA MENLifting Powerfluid do twarzy, wygładzający, dla mężczyzn,50 ml","13,99 zł",male,twarz,"fluid do twarzy, wygładzający, dla mężczyzn,50 ml"
67,"ISANA MENHyaluron Powerżel do twarzy, chłodzący, dla mężczyzn,50 ml","13,99 zł",male,twarz,"żel do twarzy, chłodzący, dla mężczyzn,50 ml"
68,"AA MENBeardkrem do twarzy z zarostem All-in-One,50 ml","29,49 zł",male,twarz,"krem do twarzy z zarostem All-in-One,50 ml"
69,"AAżel do mycia twarzy z zarostem, nawilżający,150 ml","19,99 zł",male,twarz,"żel do mycia twarzy z zarostem, nawilżający,150 ml"
70,"NIVEA MENMen Activepomadka do ust, dla mężczyzn, pielęgnacyjna, SPF 15,4,8 g","16,49 zł",male,twarz,"pomadka do ust, dla mężczyzn, pielęgnacyjna, SPF 15,4,8 g"
71,"BATMANpomadka ochronna,3,8 g","12,99 zł",male,twarz,"pomadka ochronna,3,8 g"
72,"DERMAGLINDerma Menmaseczka do twarzy, dla mężczyzn, oczyszczająca, Clear Men Mask, Zielona Glinka Kambryjska,20 g","5,19 zł",male,twarz,"maseczka do twarzy, dla mężczyzn, oczyszczająca, Clear Men Mask, Zielona Glinka Kambryjska,20 g"
73,"DERMAGLINDerma Menmaseczka do twarzy, dla mężczyzn, przeciwstarzeniowa, Energy Men Mask, Zielona Glinka Kambryjska,20 g","5,19 zł",male,twarz,"maseczka do twarzy, dla mężczyzn, przeciwstarzeniowa, Energy Men Mask, Zielona Glinka Kambryjska,20 g"
74,"BARONESSRed Gingsengmaseczka do twarzy, w płachcie, ujędrniająca,1 szt.","2,99 zł",male,twarz,"maseczka do twarzy, w płachcie, ujędrniająca,1 szt."
75,"DERMIKAMaestriaserum do twarzy przeciwzmarszczkowe na dzień i noc, 15% ekstrakt ze śluzu ślimaka,30 ml","99,99 zł",female,twarz,"serum do twarzy przeciwzmarszczkowe na dzień i noc, 15% ekstrakt ze śluzu ślimaka,30 ml"
76,"DERMIKAMaestriakrem do twarzy przeciwzmarszczkowy, na dzień i na noc 50+,50 ml","89,99 zł",female,twarz,"krem do twarzy przeciwzmarszczkowy, na dzień i na noc 50+,50 ml"
77,"DERMIKAMaestriakrem do twarzy przeciwzmarszczkowy, na dzień i na noc 60+,50 ml","89,99 zł",female,twarz,"krem do twarzy przeciwzmarszczkowy, na dzień i na noc 60+,50 ml"
78,"DERMIKAMaestriakrem do twarzy przeciwzmarszczkowy, na dzień i na noc 70+,50 ml","89,99 zł",female,twarz,"krem do twarzy przeciwzmarszczkowy, na dzień i na noc 70+,50 ml"
79,"DERMIKALuxury Caviarkrem pod oczy, kawiorowy, intensywnie regenerujący,15 ml","52,99 zł",female,twarz,"krem pod oczy, kawiorowy, intensywnie regenerujący,15 ml"
80,"DERMIKALuxury Caviarkrem do twarzy, kawiorowy, wypełniający zmarszczki, 50+, dzień/noc,50 ml","72,99 zł",female,twarz,"krem do twarzy, kawiorowy, wypełniający zmarszczki, 50+, dzień/noc,50 ml"
81,"DERMIKALuxury Caviarkrem do twarzy, kawiorowy, aktywnie regenerujący, 60+, dzień/noc,50 ml","72,99 zł",female,twarz,"krem do twarzy, kawiorowy, aktywnie regenerujący, 60+, dzień/noc,50 ml"
82,"DERMIKALuxury Caviarkrem do twarzy, kawiorowy, odbudowujący, 70+, dzień/noc,50 ml","72,99 zł",female,twarz,"krem do twarzy, kawiorowy, odbudowujący, 70+, dzień/noc,50 ml"
83,"DERMIKALuxury Neocollagenkrem pod oczy, kolagenowy, regenerujący,15 ml","Z APKĄ36,99 zł",female,twarz,"krem pod oczy, kolagenowy, regenerujący,15 ml"
84,"DERMIKALuxury Neocollagenkrem do twarzy, kolagenowy, wzmacniający, 50+, dzień/noc,50 ml","Z APKĄ51,99 zł",female,twarz,"krem do twarzy, kolagenowy, wzmacniający, 50+, dzień/noc,50 ml"
85,"DERMIKALuxury Neocollagenkrem do twarzy, kolagenowy, naprawczy, 60+, dzień/noc,50 ml","Z APKĄ51,99 zł",female,twarz,"krem do twarzy, kolagenowy, naprawczy, 60+, dzień/noc,50 ml"
86,"DERMIKALuxury Neocollagenkrem do twarzy, kolagenowy, odżywczy, 70+, dzień/noc,50 ml","Z APKĄ51,99 zł",female,twarz,"krem do twarzy, kolagenowy, odżywczy, 70+, dzień/noc,50 ml"
87,"DERMIKALuxury Ceramidesserum do twarzy, ceramidowe, przeciwzmarszczkowe, w kapsułkach, dzień/noc,60 g","61,99 zł",female,twarz,"serum do twarzy, ceramidowe, przeciwzmarszczkowe, w kapsułkach, dzień/noc,60 g"
88,"DERMIKALuxury Ceramideskrem-serum pod oczy, liftingujący,15 ml","31,99 zł",female,twarz,"krem-serum pod oczy, liftingujący,15 ml"
89,"DERMIKALuxury Ceramideskrem do twarzy, przeciwzmarszczkowy, Regeneracja, 50+, dzień/noc,50 ml","47,99 zł",female,twarz,"krem do twarzy, przeciwzmarszczkowy, Regeneracja, 50+, dzień/noc,50 ml"
90,"DERMIKALuxury Ceramideskrem do twarzy, przeciwzmarszczkowy, Rewitalizacja, 60+, dzień/noc,50 ml","47,99 zł",female,twarz,"krem do twarzy, przeciwzmarszczkowy, Rewitalizacja, 60+, dzień/noc,50 ml"
91,"DERMIKALuxury Ceramideskrem do twarzy, przeciwzmarszczkowy, Ujędrnienie, 70+, dzień/noc,50 ml","47,99 zł",female,twarz,"krem do twarzy, przeciwzmarszczkowy, Ujędrnienie, 70+, dzień/noc,50 ml"
92,"DERMIKALuxury Placentakrem do twarzy, luksusowy, liftingująco-wygładzający, 50+, dzień/noc,50 ml","79,99 zł",female,twarz,"krem do twarzy, luksusowy, liftingująco-wygładzający, 50+, dzień/noc,50 ml"
93,"DERMIKALuxury Placentakrem do twarzy, luksusowy, odbudowująco-wygładzający, 60+, dzień/noc,50 ml","79,99 zł",female,twarz,"krem do twarzy, luksusowy, odbudowująco-wygładzający, 60+, dzień/noc,50 ml"
94,"DERMIKALuxury Placentakrem do twarzy, luksusowy, ujędrniająco-wygładzający, 70+, dzień/noc,50 ml","79,99 zł",female,twarz,"krem do twarzy, luksusowy, ujędrniająco-wygładzający, 70+, dzień/noc,50 ml"
